city,country,three_star_count
Tokyo,Japan,12
Paris,France,10
Hong Kong,Hong Kong,7
London,United Kingdom,6
New York,USA,5
Kyoto,Japan,5
Barcelona,Spain,4
Singapore,Singapore,3
San Francisco,USA,3
Osaka,Japan,3
Bray,United Kingdom,2
Baiersbronn,Germany,2
Copenhagen,Denmark,2
Macau,Macau,2
Donostia / San Sebastián,Spain,2
Taipei,Taiwan,2
Marseille,France,2
Beijing,China Mainland,2
Vienna,Austria,2
Chicago,USA,2
Shanghai,China Mainland,2
Stockholm,Sweden,1
Cassis,France,1
Bad Ragaz,Switzerland,1
Cáceres,Spain,1
Dénia,Spain,1
Taichung,Taiwan,1
Les Baux-de-Provence,France,1
Bangkok,Thailand,1
Oslo,Norway,1
Monaco,France,1
Cartmel,United Kingdom,1
Le Castellet,France,1
Valence,France,1
Fontjoncouse,France,1
Córdoba,Spain,1
Saint-Bonnet-le-Froid,France,1
Rome,Italy,1
Piesport,Germany,1
Madrid,Spain,1
Verona,Italy,1
Munich,Germany,1
Hamburg,Germany,1
Brunico,Italy,1
Florence,Italy,1
Kobarid,Slovenia,1
Wolfsburg,Germany,1
Perl,Germany,1
Grassau,Germany,1
Gentofte,Denmark,1
Reims,France,1
Zwolle,Netherlands,1
Fürstenau,Switzerland,1
Senigallia,Italy,1
Larrabetzu,Spain,1
Villaverde de Pontones,Spain,1
Arriondas,Spain,1
Courchevel,France,1
Marina del Cantone,Italy,1
Roeselare,Belgium,1
Stavanger,Norway,1
Basel,Switzerland,1
Brusaporto,Italy,1
Menton,France,1
Castel di Sangro,Italy,1
Healdsburg,USA,1
Vonnas,France,1
Eugénie-les-Bains,France,1
El Puerto de Santa María,Spain,1
Berlin,Germany,1
San Diego,USA,1
Rubano,Italy,1
L'Herbaudière,France,1
Milan,Italy,1
Lasarte - Oria,Spain,1
Runate,Italy,1
Annecy,France,1
Dreis,Germany,1
Alba,Italy,1
Chagny,France,1
Yountville,USA,1
Crissier,Switzerland,1
Washington,USA,1
Saint-Tropez,France,1
Megève,France,1
Modena,Italy,1
Girona,Spain,1
Orta San Giulio,Italy,1
Antwerpen,Belgium,1
Ouches,France,1